CATSCAT	CAT. Desc.	SCAT. Desc.
6058	DC/POS Consumibles y Accesorios    	Laminado tarjetas                  
6059	DC/POS Consumibles y Accesorios    	Laminado, Holograma Tarjeta        
6060	DC/POS Consumibles y Accesorios    	Cordones                           
6061	DC/POS Consumibles y Accesorios    	Porta Tarjetas                     
6062	DC/POS Consumibles y Accesorios    	Yoyo's                             
6063	DC/POS Consumibles y Accesorios    	Pinzas                             
6064	DC/POS Consumibles y Accesorios    	Cadenas                            
6065	DC/POS Consumibles y Accesorios    	Accesorios Lectores de Códigos     
6067	DC/POS Consumibles y Accesorios    	Tarjetas RFID                      
6068	DC/POS Consumibles y Accesorios    	Tarjetas (PVC, PET)                
6069	DC/POS Consumibles y Accesorios    	Accesorios Impresoras De Etiquetas 
6101	Garantías y Servicios              	Servicios y Garantías EPSON        
6103	Garantías y Servicios              	Servicios y Garantías SYMBOL       
6104	Garantías y Servicios              	Servicios y Garantías  ZEBRA       
6105	Garantías y Servicios              	Servicios                          
6106	Garantías y Servicios              	Servicios y Garantías DATALOGIC    
6201	DC/POS - Software                  	Software desarrollo aplicaciones AI
6202	DC/POS - Software                  	Software de etiquetas AIDC/POS     
6203	DC/POS - Software                  	Software gestion de dispositivos AI
6204	DC/POS - Software                  	Software varios AIDC/POS           
6205	DC/POS - Software                  	Geestion de redes inalámbricas     
6206	DC/POS - Software                  	Software emulación de terminales AI
6207	DC/POS - Software                  	Software captura de datos          
6208	DC/POS - Software                  	Software gestion RFID              
6209	DC/POS - Software                  	Software impresoras de tarjetas AID
